Camera,Datetime,Dir,EagleLabel,Image1,Image2,ROI,bbox,regionID
CAM74,2016:11:11 18:31:14,d:\photo_set_1\,0.0,62.0,63.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:31:15,d:\photo_set_1\,0.0,63.0,61.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 19:46:57,d:\photo_set_1\,0.0,64.0,65.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 19:46:58,d:\photo_set_1\,0.0,65.0,66.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 19:46:59,d:\photo_set_1\,0.0,66.0,64.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 19:47:00,d:\photo_set_1\,0.0,67.0,68.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 19:47:01,d:\photo_set_1\,0.0,68.0,69.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 19:47:02,d:\photo_set_1\,0.0,69.0,67.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 20:59:47,d:\photo_set_1\,0.0,70.0,71.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 20:59:48,d:\photo_set_1\,0.0,71.0,72.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 20:59:49,d:\photo_set_1\,0.0,72.0,70.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 21:27:44,d:\photo_set_1\,0.0,73.0,74.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 21:27:45,d:\photo_set_1\,0.0,74.0,75.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 21:27:46,d:\photo_set_1\,0.0,75.0,73.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 21:53:21,d:\photo_set_1\,0.0,76.0,77.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 21:53:22,d:\photo_set_1\,0.0,77.0,78.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 21:53:23,d:\photo_set_1\,0.0,78.0,76.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 03:09:26,d:\photo_set_1\,0.0,79.0,80.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 03:09:27,d:\photo_set_1\,0.0,80.0,81.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 03:09:28,d:\photo_set_1\,0.0,81.0,79.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:11,d:\photo_set_1\,0.0,82.0,83.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:12,d:\photo_set_1\,0.0,83.0,84.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:13,d:\photo_set_1\,0.0,84.0,82.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:14,d:\photo_set_1\,0.0,85.0,86.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:15,d:\photo_set_1\,0.0,86.0,87.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:16,d:\photo_set_1\,0.0,87.0,85.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:21,d:\photo_set_1\,0.0,88.0,89.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:22,d:\photo_set_1\,0.0,89.0,90.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:23,d:\photo_set_1\,0.0,90.0,88.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:24,d:\photo_set_1\,0.0,91.0,92.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:25,d:\photo_set_1\,0.0,92.0,93.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 06:40:26,d:\photo_set_1\,0.0,93.0,91.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 10:21:50,d:\photo_set_1\,0.0,94.0,95.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 10:21:52,d:\photo_set_1\,0.0,95.0,96.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 10:21:53,d:\photo_set_1\,0.0,96.0,94.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 11:36:30,d:\photo_set_1\,0.0,97.0,98.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 11:36:31,d:\photo_set_1\,0.0,98.0,99.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 11:36:32,d:\photo_set_1\,0.0,99.0,97.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 12:04:32,d:\photo_set_1\,0.0,100.0,101.0,"[(354, 454), (1443, 1202)]","(340, 707, 748, 907)",19481.0
CAM74,2016:11:12 12:04:33,d:\photo_set_1\,0.0,101.0,102.0,"[(354, 454), (1443, 1202)]","(340, 761, 721, 957)",19805.0
CAM74,2016:11:12 12:04:34,d:\photo_set_1\,0.0,102.0,100.0,"[(354, 454), (1443, 1202)]","(269, 851, 661, 1002)",14963.0
CAM74,2016:11:12 12:23:54,d:\photo_set_1\,0.0,103.0,104.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 12:23:55,d:\photo_set_1\,0.0,104.0,105.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 12:23:56,d:\photo_set_1\,0.0,105.0,103.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 12:23:57,d:\photo_set_1\,0.0,106.0,107.0,"[(354, 454), (1443, 1202)]","(344, 711, 735, 948)",20404.0
CAM74,2016:11:12 12:23:59,d:\photo_set_1\,0.0,107.0,108.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 12:24:00,d:\photo_set_1\,0.0,108.0,106.0,"[(354, 454), (1443, 1202)]","(321, 692, 748, 999)",18325.0
CAM74,2016:11:12 12:26:27,d:\photo_set_1\,0.0,109.0,110.0,"[(354, 454), (1443, 1202)]","(348, 702, 647, 866)",19067.0
CAM74,2016:11:12 12:26:28,d:\photo_set_1\,0.0,110.0,111.0,"[(354, 454), (1443, 1202)]","(347, 738, 688, 879)",18637.0
CAM74,2016:11:12 12:26:29,d:\photo_set_1\,0.0,111.0,109.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 12:26:50,d:\photo_set_1\,0.0,112.0,113.0,"[(354, 454), (1443, 1202)]","(265, 850, 732, 982)",14765.0
CAM74,2016:11:12 12:26:50,d:\photo_set_1\,0.0,112.0,113.0,"[(354, 454), (1443, 1202)]","(346, 744, 674, 860)",20141.0
CAM74,2016:11:12 12:26:51,d:\photo_set_1\,0.0,113.0,114.0,"[(354, 454), (1443, 1202)]","(270, 706, 736, 994)",14306.0
CAM74,2016:11:12 12:26:52,d:\photo_set_1\,0.0,114.0,112.0,"[(354, 454), (1443, 1202)]","(268, 766, 748, 1089)",14385.0
CAM74,2016:11:12 12:33:22,d:\photo_set_1\,0.0,115.0,116.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 12:33:23,d:\photo_set_1\,0.0,116.0,117.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 12:33:24,d:\photo_set_1\,0.0,117.0,115.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 12:45:18,d:\photo_set_1\,0.0,118.0,119.0,"[(354, 454), (1443, 1202)]","(327, 655, 748, 1089)",15574.0
CAM74,2016:11:12 12:45:19,d:\photo_set_1\,0.0,119.0,120.0,"[(354, 454), (1443, 1202)]","(350, 648, 748, 1008)",16065.0
CAM74,2016:11:12 12:45:20,d:\photo_set_1\,0.0,120.0,118.0,"[(354, 454), (1443, 1202)]","(275, 871, 665, 1019)",12663.0
CAM74,2016:11:12 12:45:20,d:\photo_set_1\,0.0,120.0,118.0,"[(354, 454), (1443, 1202)]","(349, 737, 702, 906)",16579.0
CAM74,2016:11:12 12:47:31,d:\photo_set_1\,0.0,121.0,122.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 12:47:33,d:\photo_set_1\,0.0,122.0,123.0,"[(354, 454), (1443, 1202)]","(274, 653, 748, 969)",14036.0
CAM74,2016:11:12 12:47:34,d:\photo_set_1\,0.0,123.0,121.0,"[(354, 454), (1443, 1202)]","(272, 872, 713, 980)",13540.0
CAM74,2016:11:12 12:47:34,d:\photo_set_1\,0.0,123.0,121.0,"[(354, 454), (1443, 1202)]","(351, 606, 693, 895)",18543.0
CAM74,2016:11:12 13:09:33,d:\photo_set_1\,0.0,124.0,125.0,"[(354, 454), (1443, 1202)]","(277, 631, 748, 1030)",12494.0
CAM74,2016:11:12 13:09:34,d:\photo_set_1\,0.0,125.0,126.0,"[(354, 454), (1443, 1202)]","(276, 616, 748, 1021)",11915.0
CAM74,2016:11:12 13:09:34,d:\photo_set_1\,0.0,125.0,126.0,"[(354, 454), (1443, 1202)]","(598, 13, 748, 249)",24933.0
CAM74,2016:11:12 13:09:35,d:\photo_set_1\,0.0,126.0,124.0,"[(354, 454), (1443, 1202)]","(277, 616, 748, 1089)",12673.0
CAM74,2016:11:12 13:10:49,d:\photo_set_1\,0.0,127.0,128.0,"[(354, 454), (1443, 1202)]","(278, 647, 748, 1069)",11440.0
CAM74,2016:11:12 13:10:49,d:\photo_set_1\,0.0,127.0,128.0,"[(354, 454), (1443, 1202)]","(540, 0, 748, 269)",23320.0
CAM74,2016:11:12 13:10:51,d:\photo_set_1\,0.0,128.0,129.0,"[(354, 454), (1443, 1202)]","(278, 659, 696, 1003)",12446.0
CAM74,2016:11:12 13:10:52,d:\photo_set_1\,0.0,129.0,127.0,"[(354, 454), (1443, 1202)]","(274, 746, 673, 1041)",12024.0
CAM74,2016:11:12 13:22:58,d:\photo_set_1\,0.0,130.0,131.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 13:22:59,d:\photo_set_1\,0.0,131.0,132.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 13:23:00,d:\photo_set_1\,0.0,132.0,130.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 13:29:05,d:\photo_set_1\,0.0,133.0,134.0,"[(354, 454), (1443, 1202)]","(294, 750, 708, 1027)",13684.0
CAM74,2016:11:12 13:29:06,d:\photo_set_1\,0.0,134.0,135.0,"[(354, 454), (1443, 1202)]","(338, 612, 748, 1031)",16172.0
CAM74,2016:11:12 13:29:07,d:\photo_set_1\,0.0,135.0,133.0,"[(354, 454), (1443, 1202)]","(310, 641, 748, 1020)",13899.0
CAM74,2016:11:12 13:29:07,d:\photo_set_1\,0.0,135.0,133.0,"[(354, 454), (1443, 1202)]","(323, 1012, 748, 1089)",14755.0
CAM74,2016:11:12 13:39:58,d:\photo_set_1\,0.0,136.0,137.0,"[(354, 454), (1443, 1202)]","(350, 714, 700, 986)",20462.0
CAM74,2016:11:12 13:39:59,d:\photo_set_1\,0.0,137.0,138.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 13:40:00,d:\photo_set_1\,0.0,138.0,136.0,"[(354, 454), (1443, 1202)]","(351, 714, 719, 968)",19794.0
CAM74,2016:11:12 13:53:45,d:\photo_set_1\,0.0,139.0,140.0,"[(354, 454), (1443, 1202)]","(390, 673, 687, 937)",22376.0
CAM74,2016:11:12 13:53:46,d:\photo_set_1\,0.0,140.0,141.0,"[(354, 454), (1443, 1202)]","(266, 730, 678, 953)",14018.0
CAM74,2016:11:12 13:53:47,d:\photo_set_1\,0.0,141.0,139.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 14:01:03,d:\photo_set_1\,0.0,142.0,143.0,"[(354, 454), (1443, 1202)]","(275, 847, 624, 981)",13087.0
CAM74,2016:11:12 14:01:05,d:\photo_set_1\,0.0,143.0,144.0,"[(354, 454), (1443, 1202)]","(359, 772, 675, 979)",19990.0
CAM74,2016:11:12 14:01:06,d:\photo_set_1\,0.0,144.0,142.0,"[(354, 454), (1443, 1202)]","(274, 847, 691, 975)",13185.0
CAM74,2016:11:12 14:08:33,d:\photo_set_1\,0.0,145.0,146.0,"[(354, 454), (1443, 1202)]","(280, 674, 748, 1089)",13340.0
CAM74,2016:11:12 14:08:35,d:\photo_set_1\,0.0,146.0,147.0,"[(354, 454), (1443, 1202)]","(271, 737, 695, 1089)",10322.0
CAM74,2016:11:12 14:08:35,d:\photo_set_1\,0.0,146.0,147.0,"[(354, 454), (1443, 1202)]","(433, 594, 680, 768)",17499.0
CAM74,2016:11:12 14:08:36,d:\photo_set_1\,0.0,147.0,145.0,"[(354, 454), (1443, 1202)]","(271, 622, 748, 1008)",10637.0
CAM74,2016:11:12 14:08:36,d:\photo_set_1\,0.0,147.0,145.0,"[(354, 454), (1443, 1202)]","(297, 954, 638, 1089)",12445.0
CAM74,2016:11:12 15:36:25,d:\photo_set_1\,0.0,148.0,149.0,"[(354, 454), (1443, 1202)]","(320, 740, 705, 999)",17637.0
CAM74,2016:11:12 15:36:26,d:\photo_set_1\,0.0,149.0,150.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 15:36:27,d:\photo_set_1\,0.0,150.0,148.0,"[(354, 454), (1443, 1202)]","(322, 723, 684, 963)",17470.0
CAM74,2016:11:12 16:16:35,d:\photo_set_1\,0.0,151.0,152.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:16:36,d:\photo_set_1\,0.0,152.0,153.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:16:37,d:\photo_set_1\,0.0,153.0,151.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:16:55,d:\photo_set_1\,0.0,154.0,155.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:16:56,d:\photo_set_1\,0.0,155.0,156.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:16:57,d:\photo_set_1\,0.0,156.0,154.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:30:26,d:\photo_set_1\,0.0,157.0,158.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:30:27,d:\photo_set_1\,0.0,158.0,159.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:30:28,d:\photo_set_1\,0.0,159.0,157.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:54:24,d:\photo_set_1\,0.0,160.0,161.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:54:25,d:\photo_set_1\,0.0,161.0,162.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 16:54:26,d:\photo_set_1\,0.0,162.0,160.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 18:03:49,d:\photo_set_1\,0.0,163.0,164.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 18:03:50,d:\photo_set_1\,0.0,164.0,165.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 18:03:51,d:\photo_set_1\,0.0,165.0,163.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 19:53:43,d:\photo_set_1\,0.0,166.0,167.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 19:53:44,d:\photo_set_1\,0.0,167.0,168.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 19:53:45,d:\photo_set_1\,0.0,168.0,166.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 20:14:48,d:\photo_set_1\,0.0,169.0,170.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 20:14:49,d:\photo_set_1\,0.0,170.0,171.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 20:14:50,d:\photo_set_1\,0.0,171.0,169.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 20:14:53,d:\photo_set_1\,0.0,172.0,173.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 20:14:54,d:\photo_set_1\,0.0,173.0,174.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 20:14:55,d:\photo_set_1\,0.0,174.0,172.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:12 20:15:05,d:\photo_set_1\,0.0,175.0,176.0,"[(354, 454), (1443, 1202)]",,
